Cluster,Project Title,Project Partners,Project Type,Global Innovation Clusters Funding (M),Total Project Value (M),Date of Announcement,Project Location
Digital Technology Cluster,"Virtual Pulse (COVID-19 Project) This project will address the training needs of over 500,000 current and aspiring nurses in Canada to respond to COVID-19, and become available to nurses and healthcare providers globally. This will assist hospitals as they respond to the COVID-19 pandemic by expanding capacity, re-training staff for new roles, and inviting retired healthcare workers to return to duty.","Technology Training Associates Ltd. (TTA), BCIT, Animism, Unity Technologies (formerly Finger Food Advanced Technology), CAE Healthcare, Fraser Health, Vancouver Coastal Health, First Nations Health Authority",COVID-19,2.2,3.15,08/06/2020,"Vancouver, BC"
Digital Technology Cluster,"DirectFood.store, Securing the Food Supply Chain (COVID-19 Project) This project will further develop and scale the DirectFood.store (DFS) platform -- a one-stop shop for consumers to source fresh food directly from local producers, all without warehousing, processing facilities, stores or other distributors. This will help address challenges to the supply chain, promoting healthy eating, responding to evolving consumer preferences, enabling traceability and transparency in the supply chain, and adapting to the Internet grocery revolution.","Wisebox, i-Open Technologies, Novex Delivery Solutions",COVID-19,1,1.5,08/06/2020,"Vancouver, BC"
Digital Technology Cluster,"Confidential Virtual Addiction Treatment for Healthcare Workers (COVID-19 Project) This project will provide critical healthcare workers that are struggling with substance abuse disease with 100% confidential, virtual, evidence-based treatment options during this period of increased need. It will also help to build a strong business case for widespread adoption of pre-disability substance use disorder treatment and the incorporation of this form of treatment into existing healthcare worker employee benefit plans.","ALAViDA, Portage, Digital Health Circle, BC Nurses' Union (BCNU), Hospital Employees Union (HEU), BC Government - Ministry of Health, Health Sciences Association, Pacific Blue Cross",COVID-19,0.82,1.01,06/04/2020,"Vancouver, BC"
Digital Technology Cluster,"Stronger Together: Social Infrastructure for Community Health (COVID-19 Project) This project will aim to keep patients healthy at home and socially supported; give healthcare providers a single, compliant solution for remote monitoring; and provide researchers and other health organizations with an open platform on which they can build, share and monetize their evidence-based programs and services.","Curatio Networks, Cloud DX, Interior Health Authority, UBC, Pacific Blue Cross, Simon Fraser University, University Health Network (UHN), Wellness Garage, On Call Health, Zu.com",COVID-19,1.41,1.88,06/04/2020,"Vancouver, BC"
Digital Technology Cluster,"Early Detection of COVID-19 through Artificial Intelligence (COVID-19 Project) This project will use existing security cameras and computer vision technology to develop a passive screening system to identify people with a fever and who are at risk of having COVID-19, protecting the health and safety of Canadians. It will be an important tool that will enable the scanning of large numbers of people in hospitals, stores and airports. This will expedite the early detection and mitigation of potential infections, which will be critical to flattening the curve and minimizing future waves of pandemic outbreaks.","Patriot One, Cisco Canada, UBC, rProcess Outsourcing, Cramer Securities, iDENT Intelligent Detection Cincinnati Reds Stadium, Maryland Hospital",COVID-19,4.5,5.21,06/04/2020,"Vancouver, BC"
Digital Technology Cluster,"Digital Telework for Remote Physical Work (COVID-19 Project) This project will address the two most vulnerable Canadian populations affected by COVID-19: senior citizens and frontline healthcare workers by expanding the capabilities of telework technology, currently limited to video and audio interactions, to enable physical interactions by connecting and controlling general purpose robots from anywhere with LTE (4G/5G) networks. This will allow labour intensive industries to participate in the remote work economy with immediate application in healthcare and eldercare markets where urgent intervention is required.","Sanctuary AI, Blackbird Interactive, Expeto, UBC, Revera, AInBC, Alpine Building Maintenance, Forcen Technologies, Microsoft, Rogers, Vancouver Economic Commission, Nurse Next Door",COVID-19,4,5.68,06/04/2020,"Vancouver, BC"
Digital Technology Cluster,Digital Mental Health Tools for Healthcare Workers Providing COVID-19 Care (COVID-19 Project) This project will build a suite of best practices and digital mental health tools & training for the Canadian workforce - with an initial focus on the unique needs and stressors of healthcare workers on the frontline of the COVID-19 pandemic.,"Starling Minds, UBC, Genome BC",COVID-19,2,2.53,06/04/2020,"Vancouver, BC"
Digital Technology Cluster,"Providing Safe and Effective Home Care During COVID-19 (COVID-19 Project) This project will make broader enhancements to the AlayaCare home health care platform by leveraging the vast footprint of AlayaCare deployments across Canada while integrating solutions and platform components from other project partners. This will enhance the existing technology, and create new digital tools for risk management that will serve to protect the home healthcare industry from this pandemic and future pandemics. This includes taking a longer-term approach and working with partners to strengthen application programming interface as well as enabling data utilization for health data studies. The platform will accelerate patient pre-visit mandatory screening, schedule optimization for homecare providers, and real time alerting of symptomatic employees or patients.","AlayaCare, Careteam, AceAge, e-Cobalt, University of Victoria, Saint Elizabeth Health Care, Partners in Community Nursing (PICN), Paramed, Fraser Health, Acclaim Health, Bayshore HealthCare",COVID-19,0.96,1.62,05/26/2020,"Vancouver, BC"
Digital Technology Cluster,"Improving ICU Capacity During COVID-19 Outbreaks (COVID-19 Project) This project will leverage and advance development of Altis' image-based patient outcome prediction technology for COVID-19 inpatients to predict ICU admission and expected date of discharge. Clinicians will be able to make better decisions sooner regarding capacity of beds, staffing, and ventilators during patient surges, leading to higher quality care, efficiency gains, and better patient outcomes.","Altis Labs, Bayer AG, Quantitative Imaging for Personalized Cancer Medicine, Trillium Health Partners, United Health Network (UHN), Princess Margaret Hospital, Toronto Western Hospital, Toronto General Hospital",COVID-19,0.93,1.28,05/26/2020,"Vancouver, BC"
Digital Technology Cluster,Rapid Deployment of Emergency Case Management (COVID-19 Project) This project will enable rapid cross-organization coordination of both health and social services for people in at-risk situations who are isolated in the community during public health and environmental crises such as COVID-19. This platform will initially be deployed in the Ottawa area focused on fragile seniors with aims to enhance the platform for concurrent provincial/national expansion.,"Careteam, The Ottawa Hospital, Caredove, AlayaCare, CognisantMD, University of Ottawa, Dementia Society of Ottawa and Renfrew County (DSORC)",COVID-19,0.54,0.54,05/26/2020,"Vancouver, BC"
