"REF_DATE","GEO","DGUID","Industry","Employment size","Business dynamics measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-03","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","874310","","","","0"
"2015-04","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","875171","","","","0"
"2015-05","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","878949","","","","0"
"2015-06","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","875352","","","","0"
"2015-07","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","878917","","","","0"
"2015-08","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","881506","","","","0"
"2015-09","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","879058","","","","0"
"2015-10","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","880354","","","","0"
"2015-11","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","881094","","","","0"
"2015-12","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","878803","","","","0"
"2016-01","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","890000","E","","","0"
"2016-02","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","879549","","","","0"
"2016-03","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","879637","","","","0"
"2016-04","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","882404","","","","0"
"2016-05","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","881871","","","","0"
"2016-06","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","880455","","","","0"
"2016-07","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","881045","","","","0"
"2016-08","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","881505","","","","0"
"2016-09","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","880757","","","","0"
"2016-10","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","881135","","","","0"
"2016-11","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","881556","","","","0"
"2016-12","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","884198","","","","0"
"2017-01","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","886039","","","","0"
"2017-02","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","888580","","","","0"
"2017-03","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","884082","","","","0"
"2017-04","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","885665","","","","0"
"2017-05","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","888811","","","","0"
"2017-06","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","891638","","","","0"
"2017-07","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","888627","","","","0"
"2017-08","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","891111","","","","0"
"2017-09","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","893805","","","","0"
"2017-10","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","892371","","","","0"
"2017-11","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","893296","","","","0"
"2017-12","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","892803","","","","0"
"2018-01","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","893396","","","","0"
"2018-02","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","894689","","","","0"
"2018-03","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","895940","","","","0"
"2018-04","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","896926","","","","0"
"2018-05","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","893309","","","","0"
"2018-06","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","898923","","","","0"
"2018-07","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","900121","","","","0"
"2018-08","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","897913","","","","0"
"2018-09","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","899600","","","","0"
"2018-10","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","900688","","","","0"
"2018-11","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","900602","","","","0"
"2018-12","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","900092","","","","0"
"2019-01","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","899540","","","","0"
"2019-02","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","899787","","","","0"
"2019-03","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","902691","","","","0"
"2019-04","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","903036","","","","0"
"2019-05","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","903718","","","","0"
"2019-06","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","905403","","","","0"
"2019-07","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","908214","","","","0"
"2019-08","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","909784","","","","0"
"2019-09","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","909189","","","","0"
"2019-10","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","908629","","","","0"
"2019-11","Canada","2016A000011124","Business sector industries [T004]","Total, all employment sizes","Active businesses","Number","223","units","0","v1573696323","1.1.1.1","907217","","","","0"
