"REF_DATE","GEO","DGUID","Main industry based on the North American Industry Classification System (NAICS)","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","St. John's, Newfoundland and Labrador","2021S05031","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709198","3.2.1","790","","","","0"
"2018","St. John's, Newfoundland and Labrador","2021S05031","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709198","3.2.1","770","","","","0"
"2019","St. John's, Newfoundland and Labrador","2021S05031","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709198","3.2.1","790","","","","0"
"2020","St. John's, Newfoundland and Labrador","2021S05031","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709198","3.2.1","800","","","","0"
"2021","St. John's, Newfoundland and Labrador","2021S05031","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709198","3.2.1","470","","","","0"
"2022","St. John's, Newfoundland and Labrador","2021S05031","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709198","3.2.1","550","","","","0"
"2023","St. John's, Newfoundland and Labrador","2021S05031","Agriculture, forestry, fishing and hunting [11]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709198","3.2.1","550","","","","0"
"2017","St. John's, Newfoundland and Labrador","2021S05031","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709204","3.3.1","2300","","","","0"
"2018","St. John's, Newfoundland and Labrador","2021S05031","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709204","3.3.1","2910","","","","0"
"2019","St. John's, Newfoundland and Labrador","2021S05031","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709204","3.3.1","2680","","","","0"
"2020","St. John's, Newfoundland and Labrador","2021S05031","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709204","3.3.1","2070","","","","0"
"2021","St. John's, Newfoundland and Labrador","2021S05031","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709204","3.3.1","1720","","","","0"
"2022","St. John's, Newfoundland and Labrador","2021S05031","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709204","3.3.1","1870","","","","0"
"2023","St. John's, Newfoundland and Labrador","2021S05031","Mining, quarrying, and oil and gas extraction [21]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709204","3.3.1","1940","","","","0"
"2017","St. John's, Newfoundland and Labrador","2021S05031","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709210","3.4.1","1130","","","","0"
"2018","St. John's, Newfoundland and Labrador","2021S05031","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709210","3.4.1","1120","","","","0"
"2019","St. John's, Newfoundland and Labrador","2021S05031","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709210","3.4.1","1090","","","","0"
"2020","St. John's, Newfoundland and Labrador","2021S05031","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709210","3.4.1","1080","","","","0"
"2021","St. John's, Newfoundland and Labrador","2021S05031","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709210","3.4.1","1080","","","","0"
"2022","St. John's, Newfoundland and Labrador","2021S05031","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709210","3.4.1","1100","","","","0"
"2023","St. John's, Newfoundland and Labrador","2021S05031","Utilities [22]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709210","3.4.1","1140","","","","0"
"2017","St. John's, Newfoundland and Labrador","2021S05031","Construction [23]","Count of tax filers with wages, salaries and commissions","Number","223","units","0","v1130709216","3.5.1","8070","","","","0"
